id,town,belowPoverty,percent,<18,<18Val,18-34,18-34Val,35-64,35-64Val,65+,65+Val
0900700000,County,,-,-,0,-,0,-,0,-,0
0900900000,County,,-,-,-,-,0,-,0,-,0
0901100000,County,0,-,-,0,-,0,-,0,-,0
0900337070,Hartford,37435,31.9,43.2,30358,29.2,34272,27.7,16968,25.6,3016
0901152350,New London,6571,28.2,44.5,5243,26.4,6258,24,3888,14.3,374
0900952070,New Haven,31848,26.1,36.5,28364,27.1,39720,21.4,18457,15.5,2034
0900980070,Waterbury,27291,25.4,37.8,27827,26.9,26360,19,18569,15.4,1940
0901586790,Windham,5495,25.4,34.5,4773,33.8,6313,19.5,4032,6.4,167
0900350440,New Britain,16038,22.9,32.9,16600,24.7,18834,18.6,12300,12.4,1049
0900108070,Bridgeport,31453,22.1,32.9,35025,22.9,39445,16.6,21749,14.4,2074
0900901220,Ansonia,3896,20.7,33.3,4183,19.8,4295,16.9,3987,13.3,363
0901344910,Mansfield,2186,16.8,5.6,2160,41,4468,3.9,3048,3.1,66
0901156270,Norwich,6272,15.8,26.1,8858,17,10187,11.9,7649,7.6,414
0900982870,West Haven,7990,15.4,21,10866,18.9,13137,12.5,10151,8.8,615
0901385950,Willington,901,15.2,16.4,876,28.2,2027,5.7,1277,7.4,57
0900586440,Winchester,1590,14.6,17.7,1710,20.3,2343,13,2940,9.4,195
0900322630,East Hartford,7174,14.3,19.4,11095,13.8,11826,12.8,9247,11.4,752
0900919550,Derby,1593,12.7,21.5,2840,12,2896,8.7,2433,11.4,193
0900946520,Meriden,7445,12.5,21,11201,15.5,13481,9.8,12818,5.6,505
0900344700,Manchester,6932,12.1,19.9,12931,12.7,15953,8.9,10638,6.2,474
0900747360,Middletown,4888,11.4,17.1,8262,12.7,10880,9.1,8272,8,479
0901509190,Brooklyn,860,11.3,17,1766,10.3,1344,9.5,1711,9.1,111
0900118500,Danbury,8986,11.2,14.6,17362,12.5,19501,8.6,14454,11.2,1160
0901372090,Stafford,1311,11.2,18.3,2503,12.5,2313,9.1,2302,4.9,73
0901540500,Killingly,1873,11.1,14.6,3567,12.3,3484,10.1,3321,7.3,161
0901133900,Griswold,1230,10.5,15.4,2752,15.1,2901,7.2,2240,2.3,34
0900532290,Goshen,302,10.4,2,495,31.1,383,9.8,776,4.8,25
0900308490,Bristol,6144,10.3,13.6,12170,11.5,13485,7.9,12815,10.5,965
0900579510,Warren,152,10.2,16.5,273,10.9,192,9.3,449,6.3,19
0900576570,Torrington,3466,10,13.7,6709,10.8,6734,8.7,7991,8.5,484
0900715350,Clinton,1287,9.9,12.2,2558,16.4,2238,7.6,3437,7,165
0901562710,Putnam,901,9.8,16.9,1890,8.9,1799,8.6,2040,5.5,87
0900567960,Sharon,259,9.7,17.4,235,19.3,223,6.9,1306,9.4,83
0900949950,Naugatuck,3022,9.6,12.2,7012,13.4,6814,7.3,6066,6.9,305
0900922910,East Haven,2630,9.2,13.6,5461,8.8,6039,7.8,7154,8,409
0900969640,Southbury,1786,9.2,8.8,4208,12,2100,7.7,7075,10.4,558
0901378250,Vernon,2629,9.2,14.2,4968,11.8,7918,7.1,6654,4.5,217
0900174190,Stratford,4656,9,12.3,9660,10.5,10357,7.5,13123,7.4,725
0901134250,Groton,3303,9,14.7,7667,9.4,10174,6.9,7373,5.5,291
0900173070,Stamford,11279,8.9,10,26770,10,32984,7.4,23056,9.8,1583
0901501430,Ashford,376,8.9,12,803,15.6,871,5.4,884,6.7,38
0900504930,Bethlehem,300,8.6,7.6,719,13.2,494,7.2,984,10.3,56
0900156060,Norwalk,7430,8.5,10.7,17807,8.5,20777,7.3,16760,8.9,1069
0901173770,Stonington,1552,8.5,15.4,3352,11.1,2828,5.9,5602,6.2,251
0900935650,Hamden,4724,8.4,10,10986,11.7,12972,6.5,12932,6.7,586
0901148900,Montville,1469,8.3,9.9,3552,7.5,3447,9,4497,5.3,161
0900325990,Enfield,3347,8.2,12.6,8178,10.8,8729,5.9,9549,5,338
0901171670,Sprague,242,8.2,15,561,12.3,661,5.6,642,1,4
0901573420,Sterling,300,8.1,3.9,923,16.5,637,7.4,541,7.5,23
0900781680,Westbrook,549,8,1.6,885,10.1,990,11.5,2081,2.3,34
0900540290,Kent,212,7.9,8.5,589,13.6,242,8.9,970,3.6,25
0900360120,Plainville,1381,7.8,11.4,3478,6.6,3497,7.3,4226,6.5,190
0901162150,Preston,367,7.8,13.4,896,3.3,812,6.8,1089,8.6,74
0900382590,West Hartford,4725,7.7,9.1,14075,10,11650,5.8,14476,7.9,818
0900543370,Litchfield,623,7.6,9.3,1555,8.3,963,6.5,2605,8,155
0901575870,Thompson,702,7.6,12.8,1770,9.4,1838,6.2,2025,3.1,42
0900365370,Rocky,1422,7.3,7.6,3503,6.4,4578,8,5078,6.4,229
0900554030,North Canaan,219,7.1,17.8,589,3.1,617,6.2,776,2.3,13
0901559980,Plainfield,1067,7.1,7.7,3138,8.7,2965,4.9,3139,11,248
0900947535,Milford,3714,7,10.4,9753,8.1,10579,5,12804,7.4,665
0900305910,Bloomfield,1347,6.7,5.2,2826,12.4,4389,4.6,6358,5.9,275
0900387070,Windsor,807,6.5,9.8,2176,3.7,2633,7.3,3029,4.6,103
0900560750,Plymouth,760,6.4,5.5,2284,8.6,2969,5.9,2496,5.4,94
0900133620,Greenwich,3900,6.3,6.2,15786,8.3,9347,6,13501,5.5,542
0900552630,New Milford,1722,6.3,6.9,5495,8.6,5057,5.9,5697,3.7,141
0901180280,Waterford,1160,6.2,8.3,3540,7.5,3083,4.3,5228,7.2,278
0900327600,Farmington,1557,6.1,4.8,5367,11.1,4793,4.2,6116,7,313
0900575730,Thomaston,470,6.1,10.9,1541,8.8,1562,3.7,1812,3.2,38
0901129910,Franklin,118,6.1,7.4,353,7.8,321,5.9,509,3.6,13
0900374540,Suffield,792,6,10.3,2975,9.5,2142,4.7,3100,0.4,8
0900907310,Branford,1663,6,8.6,4733,8.1,5497,4.7,7976,4.4,252
0900387000,Windsor,1653,5.8,7,5931,7.3,5692,4.7,6211,5.3,232
0900337140,Hartland,118,5.7,5.7,404,1.3,299,5.6,528,9.6,33
0900517240,Cornwall,76,5.7,6.8,265,2.9,104,6.6,519,4,14
0900967610,Seymour,925,5.7,7.4,3862,9,3123,3.7,2896,4.4,87
0901142390,Lebanon,416,5.7,2.1,1455,7,1071,6.9,1845,5.7,65
0901513810,Chaplin,136,5.7,5.2,477,5.8,415,6.6,494,3.3,11
0900722490,East Hampton,718,5.6,4.9,2755,7.4,1894,5.6,3013,5,98
0900761800,Portland,513,5.5,3.1,1926,10.9,1579,5.5,2286,3.3,56
0900735230,Haddam,436,5.3,4.7,1583,16.5,1310,3.5,2123,0.9,14
0900510940,Canaan,62,5.2,1.6,185,13.3,181,5.5,367,2.1,6
0900718080,Cromwell,714,5.2,6.8,2743,5,2561,4.4,3209,5.5,131
0900324800,East Windsor,573,5.1,5.4,2004,8.3,2696,3.9,2363,3.1,52
0900384900,Wethersfield,1338,5.1,3.2,5045,8.2,4770,3.3,7143,7.7,416
0900553470,Norfolk,73,5.1,7.7,246,2.1,141,6.1,571,2.7,11
0900587910,Woodbury,493,5.1,5.4,2076,6.4,1207,3.5,2656,7.6,141
0900757320,Old Saybrook,511,5.1,2.7,1994,12.7,1199,2.9,3319,7.3,176
0900903250,Beacon,311,5.1,0,1350,11.7,1044,5.2,1088,4.9,43
0900168170,Shelton,2037,5,5.3,7601,7.2,7042,4.6,10774,3.8,295
0901512130,Canterbury,253,5,0.3,1204,3.7,750,8.4,1216,2.8,21
0900118850,Darien,1025,4.8,4.7,7105,8.4,2652,4.5,3502,2.1,53
0900714300,Chester,201,4.8,5.2,812,6.7,477,5.6,1307,2,19
0900719130,Deep River,216,4.8,5.6,960,12.3,657,2.7,1106,3,25
0900726270,Essex,312,4.8,2.6,1133,7,668,7.1,2602,2.1,41
0901178600,Voluntown,125,4.8,0,481,5.8,467,4.8,611,9.7,38
0900537280,Harwinton,261,4.7,10.2,1103,6.3,730,2.7,1458,3.1,35
0900152980,Newtown,1235,4.5,3.4,7022,8.3,3806,3.8,5753,5,211
0901115910,Colchester,723,4.5,6,3820,3.6,3277,4.9,2848,2.1,40
0900126620,Fairfield,2507,4.4,3.8,14844,8.9,8241,3.8,11995,3.3,283
0900183500,Westport,1198,4.4,3.1,7732,12.5,3084,3.3,6152,3.9,167
0900987560,Wolcott,726,4.4,3.8,3383,4.3,2992,4.4,4017,5.2,140
0900123890,Easton,325,4.3,5.1,1754,2.5,844,5.1,1826,1.9,24
0900352140,Newington,1297,4.3,3.4,5649,4.3,5957,3.3,7768,7.3,437
0901369220,Somers,399,4.3,3.1,1948,9,1541,2.7,2378,5.4,93
0900934950,Guilford,929,4.2,5,4781,7.7,2960,3.1,6674,3.3,152
0900946940,Middlebury,315,4.2,0.7,1662,7.8,1114,4.9,1937,3.7,53
0901106820,Bozrah,109,4.2,2.1,429,8,500,4.8,710,0.6,3
0901155500,North Stonington,223,4.2,3.4,1130,9,732,4.8,1330,0,0
0900580490,Watertown,893,4.1,3.1,4557,5.2,4128,2.7,5402,7.5,278
0900722280,East Haddam,363,4,3.3,1951,3.3,1570,4.5,1956,4.3,57
0900978740,Wallingford,1740,4,6.8,7784,2.5,8424,3.7,10924,3.3,259
0900987700,Woodbridge,352,4,4.5,2153,7.3,1010,2.6,2549,4.3,83
0900370550,Southington,1677,3.9,4.9,9112,2.7,7292,3.9,11114,3.7,304
0900954870,North Haven,925,3.9,2.2,4725,6.6,4419,1.8,6317,7.7,343
0901123400,East Lyme,678,3.9,7,3346,4.9,2473,2.9,5367,2.7,106
0901142600,Ledyard,586,3.9,7.2,3273,4.4,2926,2.6,3203,2.3,48
0901166210,Salem,162,3.9,2.6,1048,5.7,811,3.5,956,5,29
0900331240,Glastonbury,1289,3.8,2.4,8334,4.7,4360,3.3,7881,6.4,354
0900962290,Prospect,365,3.8,2.5,1866,3.5,1886,3.6,2241,6.2,103
0901521860,Eastford,65,3.8,0,301,4.6,282,3.6,416,8,21
0900516050,Colebrook,57,3.7,1.5,269,3,231,5.2,386,1.7,4
0900148620,Monroe,703,3.6,3.2,5001,2.2,2864,4.1,3660,3.9,99
0900549460,Morris,85,3.6,3.8,452,0,416,4.7,533,4.2,17
0900579720,Washington,121,3.6,0,425,1.1,442,4.5,1336,4.9,47
0901561030,Pomfret,146,3.6,0,861,7.1,621,3.7,946,4.8,29
0901567400,Scotland,60,3.6,8.2,343,1.1,273,2,381,5.2,12
0900108980,Brookfield,602,3.5,2.1,4080,7.8,2703,3.4,3920,1.9,52
0900368940,Simsbury,822,3.5,2.6,5832,5.1,3330,3.5,5474,3.2,118
0900957600,Orange,480,3.5,1.5,3001,6.1,2236,2.7,3659,5,131
0900186370,Wilton,617,3.4,2.8,5593,9.5,2065,2.5,3832,2.3,58
0900304300,Berlin,690,3.4,4.6,4281,1.3,2987,3.3,5821,3.7,155
0900566420,Salisbury,119,3.4,0,544,0.3,398,6,1441,2.7,30
0900953890,North Branford,492,3.4,3.9,2622,3.8,2401,2.7,3597,4.5,127
0900150860,New Fairfield,463,3.3,6.4,3261,3.7,2328,2.2,3050,1.5,31
0900958300,Oxford,430,3.3,4.8,3212,7,1741,2.1,3045,1.4,29
0900104720,Bethel,614,3.2,1.1,4135,2.9,3588,2.9,3698,8.3,205
0901306260,Bolton,156,3.2,4.7,1022,5.3,828,2.4,1264,1.1,9
0901317800,Coventry,393,3.2,3.8,2508,5.6,2488,2.4,2752,1.1,18
0901325360,Ellington,508,3.2,2.2,3796,5.4,2670,2.2,2884,5.7,123
0901536000,Hampton,55,3.1,1,313,4.4,296,3.6,489,2.6,8
0900150580,New Canaan,602,3,1.6,6180,4.7,1792,3.6,4191,2.9,89
0900332640,Granby,339,3,3.2,2666,7,1500,1.9,2617,2.9,50
0900371390,South Windsor,761,3,0.9,5575,2.6,4353,3,5814,6.1,261
0900720810,Durham,219,3,0,1516,8.5,1166,2.5,1509,3.2,35
0900312270,Canton,300,2.9,0.4,2206,6.5,1584,2.8,2509,3.1,54
0900565930,Roxbury,65,2.9,0,412,1.9,211,2.8,727,5.4,31
0901316400,Columbia,160,2.9,1.8,1138,7.1,911,2.5,1584,1.3,12
0901588190,Woodstock,229,2.9,3,1516,2.2,1290,3.8,2082,1.3,21
0900163970,Ridgefield,694,2.8,2.4,7335,4,2342,2.5,5444,3.8,141
0900551350,New Hartford,193,2.8,0.6,1733,7.2,779,2.8,1574,3.3,33
0901143230,Lisbon,121,2.8,3.6,843,4.6,741,1,948,5.3,37
0900163480,Redding,241,2.6,0,2131,1.5,1229,3.9,2520,3.7,64
0900302060,Avon,471,2.6,3,4394,2.7,2306,2.5,4587,2.2,71
0900502760,Barkhamsted,93,2.5,0,817,0.8,602,3.8,866,3.9,23
0900747080,Middlefield,112,2.5,1.5,839,4.7,636,1.6,1213,4.6,34
0900904580,Bethany,136,2.5,2,1259,0.2,627,3.5,1483,1.6,14
0901376290,Tolland,371,2.5,1.1,3706,5.7,2479,2.5,2804,1.2,24
0900508210,Bridgewater,40,2.4,0,221,2.7,187,4.5,645,0,0
0900740710,Killingworth,154,2.4,0,1336,8.9,801,2.2,1768,1.2,15
0900914160,Cheshire,639,2.4,2,5936,7,3808,0.8,6609,3.3,151
0900944560,Madison,429,2.4,1,4785,1.3,1933,2.8,5016,3.8,150
0901157040,Old Lyme,170,2.3,1,1544,2.8,668,1.7,2508,4,78
0900322070,East Granby,109,2.1,2.9,1290,0,672,2.4,1176,1.7,14
0900345820,Marlborough,133,2.1,0,1461,1.5,946,2,1293,6.5,59
0900177200,Trumbull,738,2,1,9010,2.5,5476,2.2,8629,2.7,175
0901144210,Lyme,48,2,0,396,4.7,193,2.6,999,1.6,12
0901337910,Hebron,187,2,0.9,2278,3.1,1633,2.6,1906,0.1,1
0900183430,Weston,199,1.9,1.1,3232,5.1,816,2,1967,1.7,21
0900310100,Burlington,159,1.7,0.8,2301,3.3,1275,1.4,1935,2.6,32
0900168310,Sherman,49,1.4,3.4,744,0,439,1.4,966,0,0
0901377830,Union,5,0.6,1.1,178,2.1,140,0,264,0,0
0901301080,Andover,17,0.5,0,631,2.1,617,0.3,660,0,0
0900100000,,,,-,,-,,-,,-,
